country_code,country_name,indicator_code,metric_name,year,value
SRB,Serbia,GGXWDG_NGDP,debt_to_gdp_pct,2022,50.9
SRB,Serbia,GGXWDG_NGDP,debt_to_gdp_pct,2023,45.7
SRB,Serbia,GGXWDG_NGDP,debt_to_gdp_pct,2024,44.1
SRB,Serbia,GOV_WGI_PV_EST,political_stability_est,2019,0.0620767
SRB,Serbia,GOV_WGI_PV_EST,political_stability_est,2020,-0.0681568
SRB,Serbia,GOV_WGI_PV_EST,political_stability_est,2021,-0.0436914
SRB,Serbia,GOV_WGI_PV_EST,political_stability_est,2022,-0.0525867
SRB,Serbia,GOV_WGI_PV_EST,political_stability_est,2023,0.0879568999999999
SRB,Serbia,GOV_WGI_PV_EST,political_stability_est,2024,-0.168638999999999
SRB,Serbia,NY.GDP.MKTP.KD.ZG,gdp_growth_pct,2019,4.75020793899014
SRB,Serbia,NY.GDP.MKTP.KD.ZG,gdp_growth_pct,2020,-0.950023991851594
SRB,Serbia,NY.GDP.MKTP.KD.ZG,gdp_growth_pct,2021,7.94905650472278
SRB,Serbia,NY.GDP.MKTP.KD.ZG,gdp_growth_pct,2022,2.70347705543654
SRB,Serbia,NY.GDP.MKTP.KD.ZG,gdp_growth_pct,2023,3.74793303561771
SRB,Serbia,NY.GDP.MKTP.KD.ZG,gdp_growth_pct,2024,3.94992622592932
UKR,Ukraine,FP.CPI.TOTL.ZG,inflation_pct,2019,7.88671745611133
UKR,Ukraine,FP.CPI.TOTL.ZG,inflation_pct,2020,2.73249209419427
UKR,Ukraine,FP.CPI.TOTL.ZG,inflation_pct,2021,9.36313917695223
UKR,Ukraine,FP.CPI.TOTL.ZG,inflation_pct,2022,20.1836366617478
UKR,Ukraine,FP.CPI.TOTL.ZG,inflation_pct,2023,12.8490222828559
UKR,Ukraine,FP.CPI.TOTL.ZG,inflation_pct,2024,6.50198464669254
UKR,Ukraine,GGXWDG_NGDP,debt_to_gdp_pct,2019,50.5
UKR,Ukraine,GGXWDG_NGDP,debt_to_gdp_pct,2020,60.5
UKR,Ukraine,GGXWDG_NGDP,debt_to_gdp_pct,2021,48.9
UKR,Ukraine,GGXWDG_NGDP,debt_to_gdp_pct,2022,77.7
UKR,Ukraine,GGXWDG_NGDP,debt_to_gdp_pct,2023,81.2
UKR,Ukraine,GGXWDG_NGDP,debt_to_gdp_pct,2024,89.7
UKR,Ukraine,GOV_WGI_PV_EST,political_stability_est,2019,-1.0320239
UKR,Ukraine,GOV_WGI_PV_EST,political_stability_est,2020,-0.9599236
UKR,Ukraine,GOV_WGI_PV_EST,political_stability_est,2021,-0.990563099999999
UKR,Ukraine,GOV_WGI_PV_EST,political_stability_est,2022,-1.05075649999999
UKR,Ukraine,GOV_WGI_PV_EST,political_stability_est,2023,-0.545978
UKR,Ukraine,GOV_WGI_PV_EST,political_stability_est,2024,-0.432315
UKR,Ukraine,NY.GDP.MKTP.KD.ZG,gdp_growth_pct,2019,3.19950386354134
UKR,Ukraine,NY.GDP.MKTP.KD.ZG,gdp_growth_pct,2020,-3.75281793983162
UKR,Ukraine,NY.GDP.MKTP.KD.ZG,gdp_growth_pct,2021,3.44562065945944
UKR,Ukraine,NY.GDP.MKTP.KD.ZG,gdp_growth_pct,2022,-28.7585842155085
UKR,Ukraine,NY.GDP.MKTP.KD.ZG,gdp_growth_pct,2023,5.53473354963334
UKR,Ukraine,NY.GDP.MKTP.KD.ZG,gdp_growth_pct,2024,3.24811808426423
